BatterSide,Umpire,PlateLocSide,PlateLocHeight,PitchCall
Right,Ump1,0.7949897579,1.424156821,BallCalled
Right,Ump1,-0.09991649981,3.142115354,StrikeCalled
Right,Ump1,-1.089817379,0.30467543329999996,BallCalled
Left,Ump1,0.46858065,3.7587371910000003,BallCalled
Left,Ump1,0.3042860334,0.36427972810000003,BallCalled
Right,Ump1,-0.5260892321,2.37812091,StrikeCalled
Left,Ump1,0.2708746651,1.20681991,StrikeCalled
Left,Ump1,1.307041081,1.509199366,BallCalled
Left,Ump1,0.7515179381,1.417303314,BallCalled
Right,Ump1,-1.254234129,1.7162696469999998,StrikeCalled
Right,Ump1,-0.6986154604000001,1.275000798,BallCalled
Right,Ump1,-1.7833046869999998,2.026851191,BallCalled
Right,Ump1,-0.7923671093000001,1.161949549,BallCalled
Right,Ump1,-1.208603658,1.465783487,BallCalled
Left,Ump1,0.9571935786,0.8813822875,BallCalled
Left,Ump1,0.8194886995,2.117782399,StrikeCalled
Left,Ump1,1.362651405,1.80395572,BallCalled
Left,Ump1,0.5081408454,1.649213275,StrikeCalled
Left,Ump1,1.2964353259999999,2.6291767580000003,BallCalled
Left,Ump1,0.4960269518,3.097701383,BallCalled
Left,Ump1,0.8425558704,1.564655343,BallCalled
Left,Ump1,0.6404800656,3.098486,BallCalled
Right,Ump1,-0.7231283387999999,1.068781481,BallCalled
Right,Ump1,-1.131809911,1.9932193980000001,StrikeCalled
Right,Ump1,0.4899405623,3.272209862,BallCalled
Right,Ump1,0.43015848560000003,4.080451022,BallCalled
Right,Ump1,0.2849416943,4.22476761,BallCalled
Right,Ump1,0.01747428371,3.3690106660000003,BallCalled
Left,Ump1,1.5843090709999998,3.019060249,BallCalled
Right,Ump1,1.257656763,2.068530574,StrikeCalled
Right,Ump1,1.676665789,4.731186499,BallCalled
Right,Ump1,1.1997979109999999,3.169822375,BallCalled
Right,Ump1,0.2251142105,3.6373664260000003,BallCalled
Right,Ump1,-1.097195197,0.4874809754,BallCalled
Left,Ump1,-1.196025348,2.6653772769999997,BallCalled
Left,Ump1,-0.33979907740000004,1.4564270869999998,StrikeCalled
